date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:14	105182/105182	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:13%20GMT	https://www.gotur.kz/oteli/kazakhstan/otdykh-na-alakole.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/otdykh-na-alakole.html	(from https://www.gotur.kz/)
00:02:15	108944/108944	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:14%20GMT	https://www.gotur.kz/oteli/kazakhstan/goryachie-istochniki.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/goryachie-istochniki.html	(from https://www.gotur.kz/)
00:02:16	93572/93572	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:15%20GMT	https://www.gotur.kz/oteli/kazakhstan/otdykh-v-borovom.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/otdykh-v-borovom.html	(from https://www.gotur.kz/)
00:02:17	108788/108788	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:16%20GMT	https://www.gotur.kz/oteli/kazakhstan/otdykh-s-detmi.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/otdykh-s-detmi.html	(from https://www.gotur.kz/)
00:02:18	88496/88496	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:17%20GMT	https://www.gotur.kz/oteli/kazakhstan/pokatatsya-na-lyzhakh-sankakh.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/pokatatsya-na-lyzhakh-sankakh.html	(from https://www.gotur.kz/)
00:02:19	76376/76376	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:18%20GMT	https://www.gotur.kz/oteli/kazakhstan/otdykh-v-zerende.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/otdykh-v-zerende.html	(from https://www.gotur.kz/)
00:02:20	95526/95526	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:19%20GMT	https://www.gotur.kz/oteli/kazakhstan/otdykh-na-balkhashe.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/otdykh-na-balkhashe.html	(from https://www.gotur.kz/)
00:02:21	90813/90813	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:20%20GMT	https://www.gotur.kz/oteli/kazakhstan/vip-otdykh.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/vip-otdykh.html	(from https://www.gotur.kz/)
00:02:22	71318/71318	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:21%20GMT	https://www.gotur.kz/oteli/kazakhstan/okhota.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/okhota.html	(from https://www.gotur.kz/)
00:02:23	97667/97667	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:22%20GMT	https://www.gotur.kz/oteli/kazakhstan/bassejny-i-akvaparki.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/bassejny-i-akvaparki.html	(from https://www.gotur.kz/)
00:02:24	99145/99145	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:23%20GMT	https://www.gotur.kz/oteli/kazakhstan/rybalka.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/rybalka.html	(from https://www.gotur.kz/)
00:02:24	62729/62729	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2019:02:24%20GMT	https://www.gotur.kz/oteli/kazakhstan/anatorii-lechenie-spa.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/anatorii-lechenie-spa.html	(from https://www.gotur.kz/)
00:02:26	73230/73230	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:25%20GMT	https://www.gotur.kz/oteli/kazakhstan/otdykh-na-kaspii.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/otdykh-na-kaspii.html	(from https://www.gotur.kz/)
00:02:27	89907/89907	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:26%20GMT	https://www.gotur.kz/oteli/kazakhstan/piknik.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/piknik.html	(from https://www.gotur.kz/)
00:02:28	68439/68439	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:27%20GMT	https://www.gotur.kz/oteli/kazakhstan/hostel.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/hostel.html	(from https://www.gotur.kz/)
00:02:29	109309/109309	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:28%20GMT	https://www.gotur.kz/oteli/kazakhstan/baza-otdykha.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/baza-otdykha.html	(from https://www.gotur.kz/)
00:02:30	64546/64546	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:29%20GMT	https://www.gotur.kz/oteli/kazakhstan/butik-otel.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/butik-otel.html	(from https://www.gotur.kz/)
00:02:31	97882/97882	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:30%20GMT	https://www.gotur.kz/oteli/kazakhstan/gostevoj-dom.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/gostevoj-dom.html	(from https://www.gotur.kz/)
00:02:32	96172/96172	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:31%20GMT	https://www.gotur.kz/oteli/kazakhstan/gostinitsa.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/gostinitsa.html	(from https://www.gotur.kz/)
00:02:33	101510/101510	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:32%20GMT	https://www.gotur.kz/oteli/kazakhstan/gostinichnyj-kompleks.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/gostinichnyj-kompleks.html	(from https://www.gotur.kz/)
00:02:34	83895/83895	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:33%20GMT	https://www.gotur.kz/oteli/kazakhstan/dom-otdykha.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/dom-otdykha.html	(from https://www.gotur.kz/)
00:02:35	101344/101344	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:34%20GMT	https://www.gotur.kz/oteli/kazakhstan/sanatorij.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/sanatorij.html	(from https://www.gotur.kz/)
00:02:36	70827/70827	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:35%20GMT	https://www.gotur.kz/oteli/kazakhstan/kemping-otel.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/kemping-otel.html	(from https://www.gotur.kz/)
00:02:37	76352/76352	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:36%20GMT	https://www.gotur.kz/oteli/kazakhstan/kottedzhnyj-kompleks.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/kottedzhnyj-kompleks.html	(from https://www.gotur.kz/)
